,OCCRR_DTM,RQRMN_TM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,ADDRESS
112,1997-03-30,110.0,서울,도봉,방학,,산17-1,어린이불장난,2.0,서울 도봉 방학 산17-1
113,2001-12-18,19.0,서울,도봉,방학,,산36-1,담뱃불실화추정,0.03,서울 도봉 방학 산36-1
114,2002-04-05,10.0,서울,도봉,방학,,산90-3,담뱃불실화추정,0.01,서울 도봉 방학 산90-3
115,2003-02-06,8.0,서울,도봉,방학,,산56,담배불실화,0.01,서울 도봉 방학 산56
116,2003-02-15,10.0,서울,도봉,방학2,,산2-1,쓰레기소각,0.01,서울 도봉 방학2 산2-1
117,2003-03-30,13.0,서울,도봉,방학,,산85-1,담배불실화,0.01,서울 도봉 방학 산85-1
118,2005-04-04,19.0,서울,도봉,방학,,산13-1,입산자실화추정,0.01,서울 도봉 방학 산13-1
119,2006-03-19,18.0,서울,도봉,방학,,산69-30,쓰레기소각,0.01,서울 도봉 방학 산69-30
120,2006-03-22,21.0,서울,도봉,방학,,산63-1,정신이상자실화,0.06,서울 도봉 방학 산63-1
121,2006-04-26,59.0,서울,도봉,방학,,산60-3,방화추정,0.24,서울 도봉 방학 산60-3
122,2000-03-25,45.0,서울,도봉,도봉,,산86-2,입산자실화추정,0.07,서울 도봉 도봉 산86-2
123,2012-06-28,140.0,서울,도봉,방학동,,산60,원인미상,0.01,서울 도봉 방학동 산60
124,2001-12-01,19.0,서울,도봉,도봉,,산98-1,담뱃불실화추정,0.01,서울 도봉 도봉 산98-1
125,2002-02-05,7.0,서울,도봉,도봉,,산2-1,어린이불장난추정,0.01,서울 도봉 도봉 산2-1
126,2002-03-16,18.0,서울,도봉,도봉,,산68-2,담뱃불실화추정,0.03,서울 도봉 도봉 산68-2
127,2004-03-23,131.0,서울,도봉,도봉,,산29-9,담뱃불실화,0.3,서울 도봉 도봉 산29-9
128,2006-03-25,33.0,서울,도봉,도봉,,산70-1,건물화재비화,0.2,서울 도봉 도봉 산70-1
129,2006-04-24,14.0,서울,도봉,도봉,,산11-1,담뱃불실화추정,0.01,서울 도봉 도봉 산11-1
130,2009-04-14,48.0,서울,도봉,도봉,,산53,미상,0.01,서울 도봉 도봉 산53
131,2006-05-02,9.0,서울,도봉,쌍문,,산248-6,입산자실화,0.01,서울 도봉 쌍문 산248-6
132,2001-11-28,16.0,서울,도봉,쌍문,,산249,담뱃불실화추정,0.01,서울 도봉 쌍문 산249
133,1996-02-22,30.0,서울,도봉,창,,산205-1,성묘객실화,1.1,서울 도봉 창 산205-1
134,1991-04-03,52.0,서울,도봉,방학,,산11-1,입산자실화추정,0.33,서울 도봉 방학 산11-1
135,2008-11-22,40.0,서울,도봉,쌍문,,산278-4,입산자실화,0.09,서울 도봉 쌍문 산278-4
136,1994-04-11,35.0,서울,도봉,도봉,,산55,입산자실화추정,0.06,서울 도봉 도봉 산55
137,1993-03-20,40.0,서울,도봉,도봉,,산29-2,입산자실화추정,0.1,서울 도봉 도봉 산29-2
138,1992-03-22,15.0,서울,도봉,도봉,,산29-1,입산자실화추정,0.03,서울 도봉 도봉 산29-1
139,1995-04-08,20.0,서울,도봉,도봉,,산68-1,입산자실화추정,0.3,서울 도봉 도봉 산68-1
140,1995-04-20,35.0,서울,도봉,도봉,,산68,어린이불장난추정,0.07,서울 도봉 도봉 산68
141,1996-02-20,50.0,서울,도봉,도봉,,산1-2,논밭두렁소각,1.2,서울 도봉 도봉 산1-2
142,1994-04-10,30.0,서울,도봉,쌍문,,산248-4,어린이불장난,0.1,서울 도봉 쌍문 산248-4
143,2007-06-18,922.0,서울,노원,상계,,산159-1,입산자실화,0.16,서울 노원 상계 산159-1
144,2002-03-11,38.0,서울,노원,월계,,산130,입산자실화추정,0.05,서울 노원 월계 산130
145,2002-03-17,52.0,서울,노원,월계,,산130-1,입산자실화추정,0.07,서울 노원 월계 산130-1
