id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2857,3,11,3,17:30:00,2014,농산폐기물 소각,산175,부강,문곡, ,세종,11,화요일,3,13:50:00,2014
2858,1.5,11,3,17:20:00,2014,주택내 쓰레기소각,산50-5,당동,의령,유곡,경남,11,화요일,3,14:40:00,2014
2859,0.3,11,3,16:20:00,2014,논두렁 소각,447,안노,영암,금정,전남,11,화요일,3,15:04:00,2014
2860,0.02,11,3,17:00:00,2014,논밭두렁 소각,산16,용화,익산,왕궁,전북,11,화요일,3,15:18:00,2014
2861,0.5,11,3,17:30:00,2014,사찰건립 현장 굴삭기 스파크로 발화,산50,동산,청도,매전,경북,11,화요일,3,15:20:00,2014
2862,1.2,11,3,19:00:00,2014,밭두렁 태우기,산65,덕진,장성,장성,전남,11,화요일,3,15:50:00,2014
2863,0.06,11,3,17:50:00,2014,입산자 실화,산20-1,용암,원주,귀래,강원,11,화요일,3,16:50:00,2014
2864,0.5,11,3,21:35:00,2014,입산자 실화 추정,산26,부암,문경,산양,경북,11,화요일,3,19:31:00,2014
2865,0.16,17,3,15:45:00,2014,쓰레기 소각(집 마당 내),산125,영승,거창,마리,경남,17,월요일,3,14:55:00,2014
2866,0.1,17,3,21:20:00,2014,논밭두렁 소각,산49,호문,영주,장수,경북,17,월요일,3,18:52:00,2014
2867,0.06,17,3,22:20:00,2014,논밭두렁 소각,산42,두월,영주,이산,경북,17,월요일,3,20:35:00,2014
2868,0.01,19,3,18:00:00,2014,등산객실화,산78,금정,서, ,부산,19,수요일,3,16:21:00,2014
2869,0.01,19,3,22:00:00,2014,기타(직접입력),산66,수성,연호, ,대구,19,수요일,3,21:30:00,2014
2870,0.1,21,3,16:50:00,2014,쓰레기 소각,산13-1,공주,옥룡, ,충남,21,금요일,3,15:10:00,2014
2871,0.01,21,3,19:10:00,2014,밭두렁 소각,산46,광산,선, ,광주,21,금요일,3,18:42:00,2014
2872,0.2,22,3,16:50:00,2014,도로쪽에서 화기(담뱃불)투기,산74-1,우봉,화순,춘양,전남,22,토요일,3,16:02:00,2014
2873,0.5,22,3,17:50:00,2014,입산객 실화 추정,산92-1,가운,나주,다시,전남,22,토요일,3,16:10:00,2014
2874,0.08,22,3,17:25:00,2014,집주변 잡풀소각,산57-5,동현,장성,북하,전남,22,토요일,3,17:00:00,2014
2875,0.4,23,3,13:10:00,2014,등산객실화 추정,136,동곡,광양,옥용,전남,23,일요일,3,11:30:00,2014
2876,0.1,23,3,13:00:00,2014,봄나물 채취 중 실화,산165-1,본리,달성,논공,대구,23,일요일,3,12:04:00,2014
2877,0.2,23,3,14:30:00,2014,조사중,산65-1,김해,장유, ,경북,23,일요일,3,12:45:00,2014
2878,0.1,23,3,14:20:00,2014,논밭두렁 소각,478-1,상주,화산, ,경북,23,일요일,3,13:40:00,2014
2879,0.1,23,3,15:30:00,2014,입산자실화 추정,산22,구량,울주,두서,울산,23,일요일,3,14:22:00,2014
2880,0.1,23,3,15:10:00,2014,입산자실화,산148-2,시흥,대야, ,경기,23,일요일,3,14:40:00,2014
2881,0.1,23,3,17:30:00,2014,입산자 실화,산35,무성,군위,군위,경북,23,일요일,3,15:50:00,2014
2882,0.9,23,3,18:43:00,2014,입산자 실화,산258-1,대광,순천,주암,전남,23,일요일,3,16:30:00,2014
2883,0.2,23,3,17:50:00,2014,비닐하우스 가스폭발,산130-1,이상,안동,와룡,경북,23,일요일,3,17:00:00,2014
2884,0.01,23,3,18:22:00,2014,입산자실화,210,달천,상주,화서,경북,23,일요일,3,17:30:00,2014
2885,0.3,24,3,12:00:00,2014,농산부산물 소각,산2,선평,순천,서,전남,24,월요일,3,10:24:00,2014
2886,0.01,24,3,11:20:00,2014,입산자실화(소각),산24-1,북,동변, ,대구,24,월요일,3,10:45:00,2014
2887,0.02,24,3,13:40:00,2014,농산폐기물 소각,산124,안동,운안, ,경북,24,월요일,3,12:40:00,2014
2888,1.8,24,3,15:38:00,2014,논밭두렁 소각,산43,풍신,예천,풍양,경북,24,월요일,3,13:33:00,2014
2889,0.4,24,3,17:00:00,2014,농산부산물 소각,산33-12,다지,화순,화순,전남,24,월요일,3,16:05:00,2014
2890,0.2,24,3,17:10:00,2014,전기누전추정,산170-1,자은,홍천,두촌,강원,24,월요일,3,16:27:00,2014
2891,0.3,24,3,20:20:00,2014,기타(직접입력),산5-2,전진,양양,강현,강원,24,월요일,3,19:14:00,2014
2892,0.09,26,3,16:30:00,2014,쓰레기소각,산57-56,관악,남현, ,서울,26,수요일,3,16:00:00,2014
2893,0.01,27,3,16:02:00,2014,기타(직접입력),산22-1,삼가,영주,풍기,경북,27,목요일,3,14:15:00,2014
2894,0.03,27,3,17:00:00,2014,기타(직접입력),산304-3,문혜,철원,갈말,강원,27,목요일,3,15:48:00,2014
2895,0.2,27,3,18:37:00,2014,작업장실화,산82,모곡,홍천,서,강원,27,목요일,3,17:29:00,2014
2896,0.15,27,3,20:35:00,2014,기타(직접입력),산1-1,노동,평창,용평,강원,27,목요일,3,18:29:00,2014
2897,0.1,28,3,13:40:00,2014,기타(직접입력),산160,덕가,상주,사벌,경북,28,금요일,3,12:51:00,2014
2898,0.01,28,3,16:00:00,2014,등산객실화,산116,초성,연천,청산,경기,28,금요일,3,14:12:00,2014
2899,0.06,28,3,19:50:00,2014,기타(직접입력),산310,선두,강화,길상,인천,28,금요일,3,18:35:00,2014
2900,0.11,28,3,23:24:00,2014,기타(직접입력),산42-1,은평,불광, ,서울,28,금요일,3,22:02:00,2014
